"dado";"grupo";"tecido";"semana";"elemento";"agrupamento";"item";"nbr.val";"nbr.null";"nbr.na";"min";"max";"range";"sum";"median";"mean";"SE.mean";"CI.mean.0.95";"var";"std.dev";"coef.var"
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cp5";"Mn";5188;0;0;0,00186187;1173,21;1173,20813813;132838,42365027;21,22555;25,6049390227968;0,364282338439512;0,714146906068996;688,456015449399;26,2384453702844;1,02474156829366
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cp5";"Fe";5188;0;0;5,19269e-05;487929;487928,999948073;8775878,60278403;298,588;1691,57259113031;102,145095906823;200,247435888499;54129623,7652194;7357,28372194653;4,34937510841933
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cp5";"Cu";5188;0;0;0,00905381;47635,5;47635,49094619;349253,12599861;48,27295;67,3194151886295;9,20012999826584;18,0361320887509;439124,729618133;662,66486976309;9,8435921926282
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"cp5";"Zn";5188;0;0;0,00137221;28056,7;28056,69862779;787130,3892122;33,9076;151,721354898265;6,65712416881895;13,0507689415983;229918,163808793;479,497824613202;3,16038454135031
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf1";"P";9097;0;0;53,8516;61789,2;61735,3484;125857049,8183;4790,56;13835,0060259756;135,657300984985;265,918808736345;167411211,415899;12938,7484485903;0,935218128875224
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf1";"S";9097;0;0;3,95277;49863,8;49859,84723;95156008,69116;3655,03;10460,1526537496;106,489616615761;208,743589822619;103160329,752102;10156,7873735794;0,970998006414235
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf1";"K";9097;0;0;0,674654;42757,1;42756,425346;85154895,789204;5757,73;9360,766823041;86,0687762705697;168,714151682836;67389068,1605457;8209,08448979213;0,876967095215525
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf1";"Ca";9097;0;0;0,00960211;90899,6;90899,59039789;2579240,40420591;56,9664;283,526481719898;15,1345917298363;29,6672023863608;2083721,22054186;1443,51003479084;5,09127057915147
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf1";"Mn";9097;0;0;0,000973845;814,335;814,334026155;84110,713164965;7,11128;9,24598363910795;0,15846132331534;0,310619819359844;228,425588007363;15,1137549274614;1,63462920954504
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf1";"Fe";9097;0;0;0,00281788;33290,8;33290,79718212;2147131,25644877;96,5149;236,026300587971;6,47977746498929;12,7018206307767;381960,433013639;618,029475845318;2,6184771540533
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf1";"Cu";9097;0;0;0,00303169;27663,6;27663,59696831;384962,75258259;27,4399;42,3175500255678;3,55008924956706;6,95897306888825;114650,707085974;338,601103196629;8,00143446376384
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf1";"Zn";9097;0;0;0,00262537;35153,1;35153,09737463;1427843,2083821;46,9921;156,957591335836;4,75705191879452;9,32489125286959;205860,952289896;453,719023504521;2,89071092161268
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf3";"P";19467;0;0;2,61499;60889,5;60886,88501;351522438,24829;21788,6;18057,3502978523;107,423896541014;210,560060572847;224647107,699977;14988,2323073796;0,830034975240097
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf3";"S";19467;0;0;0,363667;47377,8;47377,436333;251779565,131085;15582,3;12933,6603036464;79,1574455894144;155,155389766889;121978298,509357;11044,3785931739;0,853925210178908
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf3";"K";19467;0;0;0,000871726;59538,9;59538,899128274;243348864,194148;12246,9;12500,5837671006;77,1557458341309;151,231886381771;115887228,446007;10765,0930532907;0,861167226575652
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf3";"Ca";19467;0;0;0,00204293;681540;681539,99795707;5793770,92247706;48,2241;297,620122385425;51,7471154634157;101,428789285137;52128030,9856495;7219,97444494435;24,2590265304519
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf3";"Mn";19467;0;0;0,000402158;13348;13347,999597842;220996,328778728;8,32492;11,3523567462232;0,715065527322772;1,40158982865747;9953,84129574913;99,7689395340511;8,78839009065167
"stats_elementos_GTS";"fixo";"fixo";"fixo";"mutavel";"tf3";"Fe";19467;0;0;0,000453571;220318;220317,999546429;6435970,70586449;270,602;330,609272402758;13,427376966171;26,3188117203697;3509792,10081503;1873,44391451013;5,66664056605117
